,sim_i,t,source,target
28639,1,19,2637,991
28640,1,19,1291,992
28641,1,19,2420,993
28642,1,19,2113,994
28643,1,19,2980,994
28644,1,19,1210,996
28645,1,19,2792,996
28646,1,19,1230,997
28647,1,19,2026,997
28648,1,19,2525,997
28649,1,19,1329,999
28650,1,19,1734,999
28651,1,19,1840,1000
28652,1,19,2496,1000
28653,1,19,2053,1001
28654,1,19,2440,1001
28655,1,19,2181,1002
28656,1,19,2202,1003
28657,1,19,2677,1004
28658,1,19,1588,1006
28659,1,19,2043,1006
28660,1,19,1139,1007
28661,1,19,1564,1007
28662,1,19,1497,1009
28663,1,19,2594,1009
28664,1,19,2133,1010
28665,1,19,1313,1011
28666,1,19,2749,1012
28667,1,19,1942,1013
28668,1,19,2214,1013
28669,1,19,1292,1015
28670,1,19,1648,1016
28671,1,19,2803,1024
28672,1,19,2137,1027
28673,1,19,2860,1027
28674,1,19,2355,1028
28675,1,19,1520,1031
28676,1,19,2628,1031
28677,1,19,2374,1036
28678,1,19,2628,1036
28679,1,19,2990,1037
28680,1,19,1540,1038
28681,1,19,1723,1040
28682,1,19,2693,1041
28683,1,19,1423,1044
28684,1,19,2440,1045
28685,1,19,1804,1047
28686,1,19,1670,1048
28687,1,19,2457,1048
28688,1,19,2749,1048
28689,1,19,1875,1049
28690,1,19,2307,1049
28691,1,19,2251,1050
28692,1,19,2190,1051
28693,1,19,1888,1054
28694,1,19,2946,1054
28695,1,19,1912,1056
28696,1,19,2509,1056
28697,1,19,2196,1058
28698,1,19,1303,1060
28699,1,19,2351,1060
28700,1,19,2545,1062
28701,1,19,1940,1064
28702,1,19,1480,1065
28703,1,19,2234,1065
28704,1,19,1505,1068
28705,1,19,1470,1069
28706,1,19,2272,1070
28707,1,19,2723,1070
28708,1,19,1356,1076
28709,1,19,1427,1076
28710,1,19,2242,1077
28711,1,19,2543,1077
28712,1,19,2039,1078
28713,1,19,2870,1079
28714,1,19,1533,1080
28715,1,19,2614,1080
28716,1,19,2744,1080
28717,1,19,1668,1081
28718,1,19,1778,1082
28719,1,19,1124,1083
28720,1,19,1222,1084
28721,1,19,2460,1084
28722,1,19,2946,1085
28723,1,19,1733,1089
28724,1,19,1915,1089
28725,1,19,2645,1089
28726,1,19,1228,1090
28727,1,19,1470,1090
28728,1,19,2619,1090
28729,1,19,2858,1092
28730,1,19,1350,1093
28731,1,19,1484,1095
28732,1,19,2494,1096
28733,1,19,2880,1099
28734,1,19,1720,1100
28735,1,19,1207,1103
28736,1,19,1660,1103
28737,1,19,2563,1103
28738,1,19,1137,1105
28739,1,19,2051,1106
28740,1,19,2819,1106
28741,1,19,1811,1107
28742,1,19,2257,1107
28743,1,19,2118,1109
28744,1,19,2409,1110
28745,1,19,2412,1110
28746,1,19,2560,1110
28747,1,19,1739,1113
28748,1,19,1868,1113
28749,1,19,2491,1115
28750,1,19,1134,1116
28751,1,19,2703,1116
28752,1,19,2724,1118
28753,1,19,2934,1119
